Time (Seconds),ROI 5,ROI 15,ROI 43,ROI 57,ROI 80
110,0.547821,0.017425000000000024,0.829754,0.172285352060507,0.11580500000000002
111,0.554858,0.011550000000000005,0.816434,0.165117731982517,0.130279
112,0.586232,0.008123000000000019,0.816241,0.154983084566982,0.14720200000000003
113,0.616161,0.009118000000000015,0.797126,0.15013147232546498,0.14729100000000003
114,0.648226,0.007488000000000022,0.76783,0.13784992195811802,0.14368900000000004
115,0.665591,0.004400000000000015,0.746316,0.13823604096529402,0.129592
116,0.667844,0.002838000000000007,0.724593,0.13844964064818,0.111619
117,0.700404,0.001937000000000022,0.6934520000000001,0.14251246162333497,0.09762400000000002
118,0.71305,0.0015410000000000146,0.655547,0.15597026565724098,0.08307200000000001
119,0.7231730000000001,0.002915000000000001,0.636426,0.17365672689249,0.08444000000000002
120,0.762223,0.0,0.60741,0.19715518111943497,0.07933200000000001
121,0.7676620000000001,0.004471000000000003,0.584169,0.20274402264882602,0.07641300000000001
122,0.77162,0.005807000000000007,0.542589,0.229818548365887,0.07980700000000002
123,0.768902,0.007101000000000024,0.5167470000000001,0.253072922340997,0.104496
124,0.7575270000000001,0.010231000000000018,0.495629,0.254202041222023,0.11754
125,0.747464,0.012658000000000003,0.46511,0.242592839670563,0.12021499999999999
126,0.73915,0.01793700000000001,0.43470300000000006,0.232921106297315,0.12920600000000002
127,0.72151,0.028312000000000004,0.4287770000000001,0.223971052161349,0.130785
128,0.72698,0.03612800000000002,0.41272300000000006,0.21353134104841798,0.134462
129,0.68627,0.044044,0.407686,0.21298916853711902,0.139786
130,0.681044,0.05499100000000001,0.4058550000000001,0.20697978582454102,0.13732400000000003
131,0.650407,0.05814,0.398077,0.20199312140791598,0.126648
132,0.641758,0.06099100000000002,0.418662,0.196113107540471,0.135862
133,0.604346,0.06958700000000001,0.4095000000000001,0.22539944649924698,0.15053600000000003
134,0.5757140000000001,0.07991500000000001,0.431925,0.234331536476375,0.16733800000000001
135,0.544485,0.09763700000000003,0.426678,0.259801550287173,0.18769
136,0.515876,0.11577500000000002,0.42979200000000006,0.297518728787566,0.20278
137,0.508925,0.141509,0.4325220000000001,0.311183284520969,0.21114400000000003
138,0.49768900000000005,0.147237,0.41467600000000004,0.314273773569506,0.21417100000000003
139,0.47610600000000003,0.16263100000000003,0.40782000000000007,0.302736840989147,0.214703
140,0.45622399999999996,0.18979800000000002,0.39611300000000005,0.291289465008561,0.218876
141,0.44645999999999997,0.206413,0.38660000000000005,0.281972315751751,0.21719200000000002
142,0.44994900000000004,0.23109400000000002,0.37880800000000003,0.291356935067931,0.21597400000000003
143,0.446446,0.265836,0.36913700000000005,0.309763623088333,0.22070900000000002
144,0.441326,0.301579,0.35426199999999997,0.33888821374084305,0.21850900000000004
145,0.417103,0.33942300000000003,0.35442300000000004,0.34384005615989505,0.24760800000000002
146,0.40090100000000006,0.36730599999999997,0.34543599999999997,0.338078516558491,0.255633
147,0.387973,0.39967900000000006,0.35775199999999996,0.33283722223566903,0.26827900000000005
148,0.37545000000000006,0.44340399999999996,0.35984800000000006,0.315826733551959,0.28747200000000006
149,0.37283,0.49125800000000003,0.371401,0.314051457175044,0.303639
150,0.36536599999999997,0.533452,0.362174,0.329155955188937,0.323754
151,0.373316,0.5756209999999999,0.37604100000000007,0.355762369114555,0.329033
152,0.36985,0.5930770000000001,0.401323,0.35923327003498,0.33048
153,0.34585600000000005,0.600398,0.42429300000000003,0.366812421244952,0.340495
154,0.328519,0.631402,0.4657220000000001,0.34893505519745,0.34584499999999996
155,0.308597,0.6504590000000001,0.507672,0.34407072955677903,0.343434
